Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
400m,Men,69,3:41.83,Ian Thorpe,Australia,1999-08-22,Pan Pacific Championships,"Sydney, Australia"
400m,Men,70,3:41.33,Ian Thorpe,Australia,2000-05-13,Australian Championships,"Sydney, Australia"
400m,Men,71,3:40.59,Ian Thorpe,Australia,2000-09-16,Olympic Games,"Sydney, Australia"
400m,Men,72,3:40.17,Ian Thorpe,Australia,2001-07-22,World Championships,"Fukuoka, Japan"
400m,Men,73,3:40.08,Ian Thorpe,Australia,2002-07-30,Commonwealth Games,"Manchester, United Kingdom"
400m,Men,74,3:40.07,Paul Biedermann,Germany,2009-07-26,World Championships,"Rome, Italy"
400m,Men,75,3:39.96,Lukas Märtens,Germany,2025-04-12,Stockholm Open,"Stockholm, Sweden"
400m,Women,1,6:30.2,Ethelda Bleibtrey,United States,1919-08-16,-,"New York City, United States"
400m,Women,2,6:16.6,Hilda James,Great Britain,1921-07-29,-,"Leeds, United Kingdom"
400m,Women,3,5:53.2,Gertrude Ederle,United States,1922-08-04,-,"Indianapolis, United States"
400m,Women,4,5:51.4,Martha Norelius,United States,1927-01-23,-,"Coral Gables, United States"
400m,Women,5,5:49.6,Martha Norelius,United States,1928-06-30,-,"New York City, United States"
400m,Women,6,5:42.8,Martha Norelius,United States,1928-08-06,Olympic Games,"Amsterdam, Netherlands"
400m,Women,7,5:39.2,Martha Norelius,United States,1928-08-27,-,"Vienna, Austria"
400m,Women,8,5:31.0,Helene Madison,United States,1931-02-03,-,"Seattle, United States"
400m,Women,9,5:28.5,Helene Madison,United States,1932-08-13,-,"Los Angeles, United States"
400m,Women,10,5:16.0,Willy den Ouden,Netherlands,1934-07-12,-,"Rotterdam, Netherlands"
400m,Women,11,5:14.2,Ragnhild Hveger,Denmark,1937-02-10,-,"Copenhagen, Denmark"
400m,Women,12,5:14.0,Ragnhild Hveger,Denmark,1937-10-03,-,"Ghent, Belgium"
400m,Women,13,5:12.4,Ragnhild Hveger,Denmark,1937-11-14,-,"Magdeburg, Germany"
400m,Women,14,5:11.0,Ragnhild Hveger,Denmark,1937-12-12,-,"Copenhagen, Denmark"
400m,Women,15,5:08.2,Ragnhild Hveger,Denmark,1938-01-16,-,"Copenhagen, Denmark"
400m,Women,16,5:06.1,Ragnhild Hveger,Denmark,1938-08-01,-,"Copenhagen, Denmark"
400m,Women,17,5:05.4,Ragnhild Hveger,Denmark,1940-09-08,-,"Svendborg, Denmark"
400m,Women,18,5:00.1,Ragnhild Hveger,Denmark,1940-09-15,-,"Copenhagen, Denmark"
400m,Women,19,4:50.8,Lorraine Crapp,Australia,1956-08-25,-,"Townsville, Australia"
400m,Women,20,4:47.2,Lorraine Crapp,Australia,1956-10-20,-,"Sydney, Australia"
400m,Women,21,4:45.4,Ilsa Konrads,Australia,1960-01-09,-,"Sydney, Australia"
400m,Women,22,4:44.5,Chris von Saltza,United States,1960-08-05,US Olympic Trials,"Detroit, United States"
400m,Women,23,4:42.0,Marilyn Ramenofsky,United States,1964-07-11,-,"Los Altos, United States"
400m,Women,24,4:41.7,Marilyn Ramenofsky,United States,1964-08-01,US National Championships,"Los Altos, United States"
400m,Women,25,4:39.5,Marilyn Ramenofsky,United States,1964-08-31,-,"New York City, United States"
400m,Women,26,4:39.2,Martha Randall,United States,1965-08-14,-,"Maumee, United States"
400m,Women,27,4:38.0,Martha Randall,United States,1965-08-26,-,Monaco
400m,Women,28,4:36.8,Pam Kruse,United States,1967-06-30,-,"Fort Lauderdale, United States"
400m,Women,29,4:36.4,Pam Kruse,United States,1967-07-07,Santa Clara International,"Santa Clara, United States"
400m,Women,30,4:32.6,Debbie Meyer,United States,1967-07-27,Pan American Games,"Winnipeg, Canada"
400m,Women,31,4:29.0,Debbie Meyer,United States,1967-08-18,US National Championships,"Philadelphia, United States"
400m,Women,32,4:26.7,Debbie Meyer,United States,1967-08-01,US National Championships,"Lincoln, United States"
400m,Women,33,4:24.6,Debbie Meyer,United States,1968-08-25,US Olympic Trials,"Los Angeles, United States"
400m,Women,34,4:24.3,Debbie Meyer,United States,1970-08-20,US National Championships,"Los Angeles, United States"
400m,Women,35,4:22.6,Karen Moras,Australia,1971-04-30,Coca-Cola International,"London, United Kingdom"
400m,Women,36,4:21.2,Shane Gould,Australia,1971-07-09,Santa Clara International,"Santa Clara, United States"
400m,Women,37,4:19.04,Shane Gould,Australia,1972-08-30,Olympic Games,"Munich, West Germany"
400m,Women,38,4:18.07,Keena Rothhammer,United States,1973-08-22,US National Championships,"Louisville, United States"
400m,Women,39,4:17.33,Heather Greenwood,United States,1974-06-28,Santa Clara International,"Santa Clara, United States"
400m,Women,40,4:15.77,Shirley Babashoff,United States,1974-08-22,US National Championships,"Concord, United States"
400m,Women,41,4:14.76,Shirley Babashoff,United States,1975-06-20,US World Championships Trials,"Long Beach, United States"
400m,Women,42,4:11.69,Barbara Krause,East Germany,1976-06-03,East German Championships,"East Berlin, East Germany"
400m,Women,43,4:09.89,Petra Thümer,East Germany,1976-07-20,Olympic Games,"Montreal, Canada"
400m,Women,44,4:08.91,Petra Thümer,East Germany,1977-08-17,European Championships,"Jönköping, Sweden"
400m,Women,45,4:07.66,Kim Linehan,United States,1978-08-02,US National Championships,"The Woodlands, United States"
400m,Women,46,4:06.28,Tracey Wickham,Australia,1978-08-24,World Championships,"West Berlin, West Germany"
400m,Women,47,4:05.45,Janet Evans,United States,1987-12-20,US Open,"Orlando, United States"
400m,Women,48,4:03.85,Janet Evans,United States,1988-09-22,Olympic Games,"Seoul, South Korea"
400m,Women,49,4:03.03,Laure Manaudou,France,2006-05-12,French Championships,"Tours, France"
400m,Women,50,4:02.13,Laure Manaudou,France,2006-08-06,European Championships,"Budapest, Hungary"
400m,Women,51,4:01.53,Federica Pellegrini,Italy,2008-03-24,European Championships,"Eindhoven, Netherlands"
400m,Women,52,4:00.66,Joanne Jackson,Great Britain,2009-03-16,British Championships,"Sheffield, Great Britain"
400m,Women,53,4:00.41,Federica Pellegrini,Italy,2009-06-27,Mediterranean Games,"Pescara, Italy"
400m,Women,54,3:59.15,Federica Pellegrini,Italy,2009-07-26,World Championships,"Rome, Italy"
400m,Women,55,3:58.86,Katie Ledecky,United States,2014-08-09,US National Championships,"Irvine, United States"
400m,Women,56,3:58.37,Katie Ledecky,United States,2014-08-23,Pan Pacific Championships,"Gold Coast, Australia"
400m,Women,57,3:56.46,Katie Ledecky,United States,2016-08-07,Olympic Games,"Rio de Janeiro, Brazil"
400m,Women,58,3:56.40,Ariarne Titmus,Australia,2022-05-22,Australian Championships,"Adelaide, Australia"
400m,Women,59,3:56.08,Summer McIntosh,Canada,2023-03-28,Canadian Trials,"Toronto, Canada"
400m,Women,60,3:55.38,Ariarne Titmus,Australia,2023-07-23,World Championships,"Fukuoka, Japan"
400m,Women,61,3:54.18,Summer McIntosh,Canada,2025-06-07,Canadian Trials,"Victoria, Canada"
800m,Men,1,11:25.4,Henry Taylor,Great Britain,1906-07-21,-,"Runcorn, United Kingdom"
800m,Men,2,11:24.2,Norman Ross,United States,1920-01-10,-,"Sydney, Australia"
800m,Men,3,11:05.2,Boy Charlton,Australia,1923-01-13,-,"Sydney, Australia"
800m,Men,4,10:51.8,Boy Charlton,Australia,1924-01-19,-,"Sydney, Australia"
800m,Men,5,10:43.6,Arne Borg,Sweden,1924-04-11,-,"Honolulu, Hawaii"
800m,Men,6,10:37.4,Arne Borg,Sweden,1925-08-25,-,"Harnäs, Sweden"
800m,Men,7,10:32.0,Boy Charlton,Australia,1927-01-08,-,"Sydney, Australia"
800m,Men,8,10:22.2,Johnny Weissmuller,United States,1927-07-27,-,"Honolulu, Hawaii"
800m,Men,9,10:19.6,Jean Taris,France,1930-05-30,-,"Paris, France"
800m,Men,10,10:17.2,Jean Taris,France,1931-06-09,-,"Cannes, France"
800m,Men,11,10:16.6,Shozo Makino,Japan,1931-08-30,-,"Osaka, Japan"
800m,Men,12,10:15.6,Jean Taris,France,1932-06-21,-,"Cannes, France"
800m,Men,13,10:08.6,Shozo Makino,Japan,1933-06-25,-,"Tokyo, Japan"
800m,Men,14,10:01.2,Shozo Makino,Japan,1933-09-16,-,"Tokyo, Japan"
800m,Men,15,9:55.8,Shozo Makino,Japan,1934-09-15,-,"Tokyo, Japan"
800m,Men,16,9:50.9,Bill Smith,United States,1941-07-24,-,"Honolulu, Hawaii"
800m,Men,17,9:45.6,Hironoshin Furuhashi,Japan,1949-06-26,-,"Tokyo, Japan"
800m,Men,18,9:45.0,Shiro Hashizume,Japan,1949-08-16,-,"Los Angeles, United States"
800m,Men,19,9:40.7,Hironoshin Furuhashi,Japan,1949-08-16,-,"Los Angeles, United States"
800m,Men,20,9:35.5,Hironoshin Furuhashi,Japan,1949-08-16,-,"Los Angeles, United States"
800m,Men,21,9:30.7,Ford Konno,United States,1951-07-07,-,"Honolulu, Hawaii"
800m,Men,22,9:15.7,George Breen,United States,1956-10-27,-,"New Haven, United States"
800m,Men,23,9:17.7,John Konrads,Australia,1958-01-11,-,"Sydney, Australia"
800m,Men,24,9:14.5,John Konrads,Australia,1958-02-22,-,"Melbourne, Australia"
800m,Men,25,8:59.6,John Konrads,Australia,1959-01-10,-,"Sydney, Australia"
800m,Men,26,8:51.5,Murray Rose,Australia,1962-08-26,-,"Los Altos, United States"
800m,Men,27,8:47.4,Semyon Belits-Geiman,Soviet Union,1966-08-03,-,"Kharkiv, Soviet Union"
800m,Men,28,8:47.3,John Bennett,Australia,1967-01-16,-,"Sydney, Australia"
800m,Men,29,8:46.8,Alain Mosconi,France,1967-07-05,-,"Monaco, Monaco"
800m,Men,30,8:42.0,Francis Luyce,France,1967-07-21,-,"Dinard, France"
800m,Men,31,8:34.3,Mike Burton,United States,1968-09-03,USA Olympic Trials,"Long Beach, United States"
800m,Men,32,8:28.8,Mike Burton,United States,1969-08-17,AAU Nationals,"Louisville, United States"
800m,Men,33,8:28.6,Graham Windeatt,Australia,1971-04-03,NSW Combined High Schools Championships,"Sydney, Australia"
800m,Men,34,8:23.8,Brad Cooper,Australia,1972-01-12,NSW State Championships,"Sydney, Australia"
800m,Men,35,8:17.60,Stephen Holland,Australia,1973-08-05,Pre World Championship meet,"Brisbane, Australia"
800m,Men,36,8:16.27,Stephen Holland,Australia,1973-09-08,World Championships,"Belgrade, Yugoslavia"
800m,Men,37,8:15.88,Stephen Holland,Australia,1974-01-01,Commonwealth Games,"Christchurch, New Zealand"
800m,Men,38,8:15.2,Stephen Holland,Australia,1975-01-17,QLD State Championships,"Brisbane, Australia"
800m,Men,39,8:15.02,Stephen Holland,Australia,1975-01-25,New Zealand Games,"Christchurch, New Zealand"
800m,Men,40,8:13.68,Tim Shaw,United States,1975-06-21,USA World Championship Trials,"Long Beach, United States"
800m,Men,41,8:09.60,Tim Shaw,United States,1975-07-13,Pre World Championship meet,"Mission Viejo, United States"
800m,Men,42,8:06.27,Stephen Holland,Australia,1976-02-27,Australian Olympic Trials,"Sydney, Australia"
800m,Men,43,8:02.91,Stephen Holland,Australia,1976-02-29,Australian Olympic Trials,"Sydney, Australia"
800m,Men,44,8:01.54,Bobby Hackett,United States,1976-06-21,USA Olympic Trials,"Long Beach, United States"
800m,Men,45,7:56.49,Vladimir Salnikov,Soviet Union,1979-03-23,URS vs. GDR Duel,"Minsk, Soviet Union"
800m,Men,46,7:52.83,Vladimir Salnikov,Soviet Union,1982-02-14,URS Winter Nationals,"Moscow, Soviet Union"
800m,Men,47,7:52.23,Vladimir Salnikov,Soviet Union,1983-07-14,Los Angeles International,"Los Angeles, United States"
800m,Men,48,7:50.64,Vladimir Salnikov,Soviet Union,1986-07-04,Goodwill Games,"Moscow, Soviet Union"
800m,Men,49,7:47.85,Kieren Perkins,Australia,1991-08-25,Pan Pacific Championships,"Edmonton, Canada"
800m,Men,50,7:46.60,Kieren Perkins,Australia,1992-02-16,NSW Age Group Championships,"Sydney, Australia"
800m,Men,51,7:46.00,Kieren Perkins,Australia,1994-08-24,Commonwealth Games,"Victoria, Canada"
800m,Men,52,7:41.59,Ian Thorpe,Australia,2001-03-26,Australian Championships,"Hobart, Australia"
800m,Men,53,7:39.16,Ian Thorpe,Australia,2001-07-24,World Championships,"Fukuoka, Japan"
800m,Men,54,7:38.65,Grant Hackett,Australia,2005-07-27,World Championships,"Montreal, Canada"
800m,Men,55,7:32.12,Zhang Lin,China,2009-07-29,World Championships,"Rome, Italy"
800m,Women,1,13:19.0,Gertrude Ederle,United States,1919-08-17,-,"Indianapolis, United States"
800m,Women,2,12:58.2,Ethel McGary,United States,1919-08-17,-,"Detroit, United States"
800m,Women,3,12:56.0,Ethel McGary,United States,1925-08-15,-,"Indianapolis, United States"
800m,Women,4,12:47.2,Martha Norelius,United States,1926-08-07,-,"Philadelphia, United States"
800m,Women,5,12:17.8,Martha Norelius,United States,1927-07-31,-,"Massapequa, United States"
800m,Women,6,12:03.8,Josephine McKim,United States,1929-08-10,-,"Honolulu, Hawaii"
800m,Women,7,11:41.2,Helene Madison,United States,1930-07-06,-,"Long Beach, United States"
800m,Women,8,12:18.8,Yvonne Godard,France,1931-07-23,-,"Paris, France"
800m,Women,9,11:44.0,Lenore Kight,United States,1933-07-23,-,"Jones Beach, United States"
800m,Women,10,11:34.4,Lenore Kight,United States,1935-07-21,-,"Manhattan Beach, United States"
800m,Women,11,11:11.7,Ragnhild Hveger,Denmark,1936-07-03,-,"Copenhagen, Denmark"
800m,Women,12,10:52.5,Ragnhild Hveger,Denmark,1941-08-13,-,"Copenhagen, Denmark"
800m,Women,13,10:42.4,Valéria Gyenge,Hungary,1953-06-28,-,"Budapest, Hungary"
800m,Women,14,10:30.9,Lorraine Crapp,Australia,1956-01-14,-,"Sydney, Australia"
800m,Women,15,10:27.3,Mary Kok,Netherlands,1957-02-16,-,"Durban, South Africa"
800m,Women,16,10:17.7,Ilsa Konrads,Australia,1958-01-09,-,"Sydney, Australia"
800m,Women,17,10:16.2,Ilsa Konrads,Australia,1958-02-20,-,"Melbourne, Australia"
800m,Women,18,10:11.8,Ilsa Konrads,Australia,1958-06-13,-,"Townsville, Australia"
800m,Women,19,10:11.4,Ilsa Konrads,Australia,1959-02-19,-,"Hobart, Australia"
800m,Women,20,9:55.6,Jane Cederqvist,Sweden,1960-08-17,-,"Uppsala, Sweden"
800m,Women,21,9:51.6,Carolyn House,United States,1962-08-26,-,"Los Altos, United States"
800m,Women,22,9:47.3,Patty Caretto,United States,1964-07-30,-,"Los Altos, United States"
800m,Women,23,9:36.9,Sharon Finneran,United States,1964-09-28,-,"Los Angeles, United States"
800m,Women,24,9:35.8,Debbie Meyer,United States,1967-07-09,Santa Clara Invitational,"Santa Clara, United States"
800m,Women,25,9:22.9,Debbie Meyer,United States,1967-07-29,Pan American Games,"Winnipeg, Canada"
800m,Women,26,9:19.0,Debbie Meyer,United States,1968-07-21,-,"Los Angeles, United States"
800m,Women,27,9:17.8,Debbie Meyer,United States,1968-08-04,US National Championships,"Lincoln, Nebraska, United States"
800m,Women,28,9:10.4,Debbie Meyer,United States,1968-08-28,US Olympic Trials,"Los Angeles, United States"
800m,Women,29,9:09.1,Karen Moras,Australia,1970-03-01,Australian Championships,"Sydney, Australia"
800m,Women,30,9:02.45,Karen Moras,Australia,1970-07-18,Commonwealth Games,"Edinburgh, United Kingdom"
800m,Women,31,8:59.4,Ann Simmons,United States,1971-09-10,USA vs USSR vs Great Britain Dual Meet,"Minsk, Soviet Union"
800m,Women,32,8:58.1,Shane Gould,Australia,1971-12-03,-,"Sydney, Australia"
800m,Women,33,8:53.83,Jo Harshbarger,United States,1972-08-06,US Olympic Trials,"Chicago, Illinois, United States"
800m,Women,34,8:53.68,Keena Rothhammer,United States,1972-09-03,Olympic Games,"Munich, West Germany"
800m,Women,35,8:52.97,Novella Calligaris,Italy,1973-09-09,World Championships,"Belgrade, Yugoslavia"
800m,Women,36,8:50.10,Jennifer Turrall,Australia,1974-01-05,NSW Championships,"Sydney, Australia"
800m,Women,37,8:47.66,Jo Harshbarger,United States,1974-08-25,US National Championships,"Concord, United States"
800m,Women,38,8:47.59,Jo Harshbarger,United States,1974-08-31,USA vs East Germany Dual Meet,"Concord, United States"
800m,Women,39,8:43.48,Jennifer Turrall,Australia,1975-03-31,Coca-Cola International,"London, United Kingdom"
800m,Women,40,8:40.68,Petra Thümer,East Germany,1976-06-04,East German Championships,"East Berlin, East Germany"
800m,Women,41,8:39.63,Shirley Babashoff,United States,1976-06-21,USA Olympic Trials,"Long Beach, United States"
800m,Women,42,8:37.14,Petra Thümer,East Germany,1976-07-25,Olympic Games,"Montreal, Canada"
800m,Women,43,8:35.04,Petra Thümer,East Germany,1977-07-09,East German Championships,"Leipzig, East Germany"
800m,Women,44,8:34.86,Michelle Ford,Australia,1978-01-06,KBI meet,"Brisbane, Australia"
800m,Women,45,8:31.30,Michelle Ford,Australia,1978-01-21,NSW Championships,"Sydney, Australia"
800m,Women,46,8:30.53,Tracey Wickham,Australia,1978-02-21,Australian Championships,"Brisbane, Australia"
800m,Women,47,8:24.62,Tracey Wickham,Australia,1978-08-05,Commonwealth Games,"Edmonton, Canada"
800m,Women,48,8:22.44,Janet Evans,United States,1987-07-27,US National Championships,"Clovis, United States"
800m,Women,49,8:19.53,Anke Möhring,East Germany,1987-08-19,European Championships,"Strasbourg, France"
800m,Women,50,8:17.12,Janet Evans,United States,1988-03-22,US Spring National Championships,"Orlando, United States"
800m,Women,51,8:16.22,Janet Evans,United States,1989-08-20,Pan Pacific Championships,"Tokyo, Japan"
800m,Women,52,8:14.10,Rebecca Adlington,Great Britain,2008-08-16,Olympic Games,"Beijing, China"
800m,Women,53,8:13.86,Katie Ledecky,United States,2013-08-03,World Championships,"Barcelona, Spain"
800m,Women,54,8:11.00,Katie Ledecky,United States,2014-06-22,Woodlands Senior Invitational,"Shenandoah, United States"
800m,Women,55,8:07.39,Katie Ledecky,United States,2015-08-08,World Championships,"Kazan, Russia"
800m,Women,56,8:06.68,Katie Ledecky,United States,2016-01-17,Arena Pro Swim Series,"Austin, United States"
800m,Women,57,8:04.79,Katie Ledecky,United States,2016-08-12,Olympic Games,"Rio de Janeiro, Brazil"
800m,Women,58,8:04.12,Katie Ledecky,United States,2025-05-03,TYR Pro Swim Series,"Fort Lauderdale, United States"
1500m,Men,1,22:48.4,Henry Taylor,Great Britain,1908-07-25,Olympic Games,"London, United Kingdom"
1500m,Men,2,22:00.0,George Hodgson,Canada,1912-07-10,Olympic Games,"Stockholm, Sweden"
1500m,Men,3,21:35.3,Arne Borg,Sweden,1923-07-08,-,"Gothenburg, Sweden"
1500m,Men,4,21:15.0,Arne Borg,Sweden,1924-01-30,-,"Sydney, Australia"
1500m,Men,5,21:11.4,Arne Borg,Sweden,1924-07-13,-,"Paris, France"
1500m,Men,6,20:06.6,Boy Charlton,Australia,1924-07-15,Olympic Games,"Paris, France"
1500m,Men,7,20:04.4,Arne Borg,Sweden,1926-08-18,-,"Budapest, Hungary"
1500m,Men,8,19:07.2,Arne Borg,Sweden,1927-09-02,European Championships,"Bologna, Italy"
1500m,Men,9,18:58.8,Tomikatsu Amano,Japan,1938-08-10,-,"Tokyo, Japan"
1500m,Men,10,18:35.7,Shiro Hashizume,Japan,1949-08-16,-,"Los Angeles, United States"
1500m,Men,11,18:19.0,Hironoshin Furuhashi,Japan,1949-08-16,-,"Los Angeles, United States"
1500m,Men,12,18:05.9,George Breen,United States,1956-05-03,-,"New Haven, United States"
1500m,Men,13,17:59.5,Murray Rose,Australia,1956-10-30,-,"Melbourne, Australia"
1500m,Men,14,17:52.9,George Breen,United States,1956-12-05,-,"Melbourne, Australia"
1500m,Men,15,17:28.7,John Konrads,Australia,1958-02-22,-,"Melbourne, Australia"
1500m,Men,16,17:11.0,John Konrads,Australia,1960-02-27,-,"Sydney, Australia"
1500m,Men,17,17:05.5,Roy Saari,United States,1963-08-17,-,"Tokyo, Japan"
1500m,Men,18,17:01.8,Murray Rose,Australia,1964-08-02,-,"Los Altos, United States"
1500m,Men,19,16:58.7,Roy Saari,United States,1964-09-02,-,"New York City, United States"
1500m,Men,20,16:58.6,Stephen Krause,United States,1965-08-15,-,"Maumee, United States"
1500m,Men,21,16:41.6,Mike Burton,United States,1966-08-21,-,"Lincoln, United States"
1500m,Men,22,16:34.1,Mike Burton,United States,1967-08-13,US National Championships,"Oak Park, United States"
1500m,Men,23,16:28.1,Guillermo Echevarria,Mexico,1968-07-07,Santa Clara Invitational,"Santa Clara, United States"
1500m,Men,24,16:08.6,Mike Burton,United States,1968-09-03,US Olympic Trials,"Long Beach, United States"
1500m,Men,25,16:04.5,Mike Burton,United States,1969-08-17,US National Championships,"Louisville, United States"
1500m,Men,26,15:57.10,John Kinsella,United States,1970-08-23,US National Championships,"Los Angeles, United States"
1500m,Men,27,15:52.91,Rick DeMont,United States,1972-08-06,US Olympic Trials,"Chicago, United States"
1500m,Men,28,15:52.58,Mike Burton,United States,1972-09-04,Olympic Games,"Munich, West Germany"
1500m,Men,29,15:37.80,Stephen Holland,Australia,1973-08-05,Pre World Championship meet,"Brisbane, Australia"
1500m,Men,30,15:31.85,Stephen Holland,Australia,1973-09-08,World Championships,"Belgrade, Yugoslavia"
1500m,Men,31,15:31.75,Tim Shaw,United States,1974-08-25,US National Championships,"Concord, United States"
1500m,Men,32,15:27.79,Stephen Holland,Australia,1975-01-25,New Zealand Games,"Christchurch, New Zealand"
1500m,Men,33,15:20.91,Tim Shaw,United States,1975-06-21,US World Championship Trials,"Long Beach, United States"
1500m,Men,34,15:10.89,Stephen Holland,Australia,1976-02-27,Australian Championships,"Sydney, Australia"
1500m,Men,35,15:06.66,Brian Goodell,United States,1976-06-21,US Olympic Trials,"Long Beach, United States"
1500m,Men,36,15:02.40,Brian Goodell,United States,1976-07-20,Olympic Games,"Montreal, Canada"
1500m,Men,37,14:58.27,Vladimir Salnikov,Soviet Union,1980-07-22,Olympic Games,"Moscow, Soviet Union"
1500m,Men,38,14:56.35,Vladimir Salnikov,Soviet Union,1982-03-13,Soviet Union vs East Germany Dual Meet,"Moscow, Soviet Union"
1500m,Men,39,14:54.76,Vladimir Salnikov,Soviet Union,1983-02-22,Soviet Union Winter Championships,"Moscow, Soviet Union"
1500m,Men,-,14:53.59,Glen Housman,Australia,1989-12-13,Australian Trials,"Adelaide, Australia"
1500m,Men,40,14:50.36,Jörg Hoffmann,Germany,1991-01-13,World Championships,"Perth, Australia"
1500m,Men,41,14:48.40,Kieren Perkins,Australia,1992-04-05,Australian Championships,"Canberra, Australia"
1500m,Men,42,14:43.48,Kieren Perkins,Australia,1992-07-31,Olympic Games,"Barcelona, Spain"
1500m,Men,43,14:41.66,Kieren Perkins,Australia,1994-08-24,Commonwealth Games,"Victoria, Canada"
1500m,Men,44,14:34.56,Grant Hackett,Australia,2001-07-29,World Championships,"Fukuoka, Japan"
1500m,Men,45,14:34.14,Sun Yang,China,2011-07-31,World Championships,"Shanghai, China"
1500m,Men,46,14:31.02,Sun Yang,China,2012-08-04,Olympic Games,"London, United Kingdom"
1500m,Men,47,14:30.67,Bobby Finke,United States,2024-08-04,Olympic Games,"Paris, France"
1500m,Men,48,14:26.79,Johannes Liebmann,Germany,2026-08-15,European Championships,"Paris, France"
1500m,Women,1,25:06.6,Helen Wainwright,United States,1922-08-19,-,"New York City, United States"
1500m,Women,2,24:07.6,Ethel McGary,United States,1925-12-31,-,"Coral Gables, United States"
1500m,Women,3,24:00.2,Edith Mayne,Great Britain,1926-09-15,-,"Exmouth, United Kingdom"
1500m,Women,4,23:44.6,Martha Norelius,United States,1927-07-28,-,"Massapequa, United States"
1500m,Women,5,23:17.2,Helene Madison,United States,1931-07-15,-,"New York City, United States"
1500m,Women,6,22:36.7,Grete Frederiksen,Denmark,1936-06-26,-,"Copenhagen, Denmark"
1500m,Women,7,21:45.7,Ragnhild Hveger,Denmark,1938-07-03,-,"Helsinki, Finland"
1500m,Women,8,21:10.1,Ragnhild Hveger,Denmark,1940-08-11,-,"Helsinki, Finland"
1500m,Women,9,20:57.0,Ragnhild Hveger,Denmark,1941-08-20,-,"Copenhagen, Denmark"
1500m,Women,10,20:46.5,Lenie de Nijs,Netherlands,1955-07-23,-,"Utrecht, Netherlands"
1500m,Women,11,20:22.8,Jans Koster,Netherlands,1956-08-21,-,"Utrecht, Netherlands"
1500m,Women,12,20:03.1,Jans Koster,Netherlands,1957-07-27,-,"Hilversum, Netherlands"
1500m,Women,13,19:25.7,Ilsa Konrads,Australia,1960-01-13,-,"Sydney, Australia"
1500m,Women,14,19:23.6,Jane Cederqvist,Sweden,1960-09-08,-,"Uppsala, Sweden"
1500m,Women,15,19:02.8,Margareta Rylander,Sweden,1961-06-27,-,"Uppsala, Sweden"
1500m,Women,16,18:44.0,Carolyn House,United States,1962-08-16,-,"Chicago, United States"
1500m,Women,17,18:30.5,Patty Caretto,United States,1964-07-30,-,"Los Altos, United States"
1500m,Women,18,18:23.7,Patty Caretto,United States,1965-08-12,-,"Los Altos, United States"
1500m,Women,19,18:12.9,Patty Caretto,United States,1966-08-21,-,"Lincoln, United States"
1500m,Women,20,18:11.1,Debbie Meyer,United States,1967-07-09,Santa Clara Invitational,"Santa Clara, United States"
1500m,Women,21,17:50.2,Debbie Meyer,United States,1967-08-20,AAU Nationals,"Philadelphia, United States"
1500m,Women,22,17:31.2,Debbie Meyer,United States,1968-08-21,-,"Los Angeles, United States"
1500m,Women,23,17:19.9,Debbie Meyer,United States,1969-08-17,AAU Nationals,"Louisville, United States"
1500m,Women,24,17:19.20,Cathy Calhoun,United States,1971-08-28,AAU Nationals,"Houston, United States"
1500m,Women,25,17:00.6,Shane Gould,Australia,1971-12-12,-,"Sydney, Australia"
1500m,Women,26,16:56.9,Shane Gould,Australia,1973-02-11,Australian Championships,"Adelaide, Australia"
1500m,Women,27,16:54.14,Jo Harshbarger,United States,1973-08-25,USA World Championship Trials,"Louisville, United States"
1500m,Women,28,16:49.9,Jennifer Turrall,Australia,1973-12-09,Top-level meet,"Sydney, Australia"
1500m,Women,29,16:48.2,Jennifer Turrall,Australia,1974-01-09,NSW State Championships,"Sydney, Australia"
1500m,Women,30,16:43.4,Jennifer Turrall,Australia,1974-07-13,-,"Sydney, Australia"
1500m,Women,31,16:39.28,Jennifer Turrall,Australia,1974-08-03,Los Angeles Invitational,"Los Angeles, United States"
1500m,Women,32,16:33.94,Jennifer Turrall,Australia,1974-08-25,AAU Nationals,"Concord, United States"
1500m,Women,33,16:24.60,Alice Browne,United States,1977-08-21,AAU Nationals,"Mission Viejo, United States"
1500m,Women,34,16:14.93,Tracey Wickham,Australia,1978-02-08,Invitational,"Brisbane, Australia"
1500m,Women,35,16:06.63,Tracey Wickham,Australia,1979-02-25,Australian Championships,"Perth, Australia"
1500m,Women,36,16:04.49,Kim Linehan,United States,1979-08-19,AAU Nationals,"Fort Lauderdale, United States"
1500m,Women,37,16:00.73,Janet Evans,United States,1987-07-31,USA Nationals & Pan Pacific Trials,"Orlando, United States"
1500m,Women,38,15:52.10,Janet Evans,United States,1988-03-26,USA Spring Nationals,"Orlando, United States"
1500m,Women,39,15:42.54,Kate Ziegler,United States,2007-06-17,TYR Meet of Champions,"Mission Viejo, United States"
1500m,Women,40,15:36.53,Katie Ledecky,United States,2013-07-30,World Championships,"Barcelona, Spain"
1500m,Women,41,15:34.23,Katie Ledecky,United States,2014-06-19,Woodlands Senior Invitational Meet,"Shenandoah, United States"
1500m,Women,42,15:28.36,Katie Ledecky,United States,2014-08-24,Pan Pacific Championships,"Gold Coast, Australia"
1500m,Women,43,15:27.71,Katie Ledecky,United States,2015-08-03,World Championships,"Kazan, Russia"
1500m,Women,44,15:25.48,Katie Ledecky,United States,2015-08-04,World Championships,"Kazan, Russia"
