Event,Gender,#,Time,Name,Nationality,Date,Meet,Location
100m,Women,50,54.73,Kristin Otto,East Germany,1986-08-19,World Championships,"Madrid, Spain"
100m,Women,51,54.48,Jenny Thompson,United States,1992-03-01,US Olympic Trials,"Indianapolis, United States"
100m,Women,52,54.01,Jingyi Le,China,1994-09-05,World Championships,"Rome, Italy"
100m,Women,53,53.80,Inge de Bruijn,Netherlands,2000-05-28,Super Speedo Grand Prix,"Sheffield, United Kingdom"
100m,Women,54,53.77,Inge de Bruijn,Netherlands,2000-09-20,Olympic Games,"Sydney, Australia"
100m,Women,55,53.66,Libby Lenton,Australia,2004-03-31,Australian Championships,"Sydney, Australia"
100m,Women,56,53.52,Jodie Henry,Australia,2004-08-18,Olympic Games,"Athens, Greece"
100m,Women,57,53.42,Libby Lenton,Australia,2006-01-31,Australian Championships,"Melbourne, Australia"
100m,Women,58,53.30,Britta Steffen,Germany,2006-08-02,European Championships,"Budapest, Hungary"
100m,Women,59,52.88,Libby Trickett,Australia,2008-03-27,Australian Championships,"Sydney, Australia"
100m,Women,60,52.85,Britta Steffen,Germany,2009-06-25,German Championships,"Berlin, Germany"
100m,Women,61,52.56,Britta Steffen,Germany,2009-06-27,German Championships,"Berlin, Germany"
100m,Women,62,52.22,Britta Steffen,Germany,2009-07-26,World Championships,"Rome, Italy"
100m,Women,63,52.07,Britta Steffen,Germany,2009-07-31,World Championships,"Rome, Italy"
100m,Women,64,52.06,Cate Campbell,Australia,2016-07-02,Swimming Australia Grand Prix,"Brisbane, Australia"
100m,Women,65,51.71,Sarah Sjöström,Sweden,2017-07-23,World Championships,"Budapest, Hungary"
100m,Women,65,51.68,Marrit Steenbergen,Netherlands,2026-06-27,Sette Colli Trophy,"Rome, Italy"
200m,Men,0,2:28.6,Frederick Lane,Australia,1902-08-18,-,"Weston-super-Mare, United Kingdom"
200m,Men,0,2:26.8,Zoltan Halmay,Hungary,1908-06-28,-,"Budapest, Hungary"
200m,Men,1,2:31.6,Otto Scheff,Austria,1908-11-11,-,"Vienna, Austria"
200m,Men,2,2:30.0,Frank Beaurepaire,Australia,1910-09-09,-,"Exeter, United Kingdom"
200m,Men,3,2:25.4,Charles Daniels,United States,1911-03-28,-,"Pittsburgh, United States"
200m,Men,4,2:21.6,Norman Ross,United States,1916-11-24,-,"San Francisco, United States"
200m,Men,5,2:19.8,Tedford Cann,United States,1920-04-10,-,"Detroit, United States"
200m,Men,6,2:15.6,Johnny Weissmuller,United States,1922-05-26,-,"Honolulu, United States"
